X [mm],Y [mm],Z [mm],X/D [-],Y/D [-],Z/D [-],U/U_hub [-]
13328,-60,300,8,-0.144230769,0,0.742486206
13328,-40,300,8,-0.096153846,0,0.735994807
13328,-20,300,8,-0.048076923,0,0.736990155
13328,0,300,8,0,0,0.739759818
13328,20,300,8,0.048076923,0,0.735388943
13328,40,300,8,0.096153846,0,0.744736557
13328,60,300,8,0.144230769,0,0.7552959
13328,80,300,8,0.192307692,0,0.766807314
13328,100,300,8,0.240384615,0,0.785069783
13328,120,300,8,0.288461538,0,0.797966028
13328,140,300,8,0.336538462,0,0.80895813
13328,160,300,8,0.384615385,0,0.822157308
13328,180,300,8,0.432692308,0,0.853316023
13328,200,300,8,0.480769231,0,0.858336038
13328,210,300,8,0.504807692,0,0.860543114
13328,220,300,8,0.528846154,0,0.876295575
13328,240,300,8,0.576923077,0,0.890533377
13328,260,300,8,0.625,0,0.90312669
13328,280,300,8,0.673076923,0,0.924721411
13328,300,300,8,0.721153846,0,0.936925241
13328,320,300,8,0.769230769,0,0.945926647
13328,340,300,8,0.817307692,0,0.96328032
13328,360,300,8,0.865384615,0,0.961895488
13328,380,300,8,0.913461538,0,0.976176566
13328,400,300,8,0.961538462,0,0.986476252
13328,420,300,8,1.009615385,0,0.983360381
13328,440,300,8,1.057692308,0,0.988293844
13328,460,300,8,1.105769231,0,0.991496267
13328,480,300,8,1.153846154,0,0.994785243
13328,500,300,8,1.201923077,0,0.98812074
13328,520,300,8,1.25,0,0.986216596
13328,540,300,8,1.298076923,0,0.991669371
13744,-540,300,9,-1.298076923,0,1.020188251
13744,-520,300,9,-1.25,0,1.020664286
13744,-500,300,9,-1.201923077,0,1.017851347
13744,-480,300,9,-1.153846154,0,1.012701504
13744,-460,300,9,-1.105769231,0,1.014995131
13744,-440,300,9,-1.057692308,0,1.000930434
13744,-420,300,9,-1.009615385,0,0.99772801
13744,-400,300,9,-0.961538462,0,0.989505572
13744,-380,300,9,-0.913461538,0,0.990371092
13744,-360,300,9,-0.865384615,0,0.971372931
13744,-340,300,9,-0.817307692,0,0.953110462
13744,-320,300,9,-0.769230769,0,0.947657687
13744,-300,300,9,-0.721153846,0,0.931818674
13744,-280,300,9,-0.673076923,0,0.912431029
13744,-260,300,9,-0.625,0,0.899621335
13744,-240,300,9,-0.576923077,0,0.884085254
13744,-220,300,9,-0.528846154,0,0.870107108
13744,-210,300,9,-0.504807692,0,0.854484475
13744,-200,300,9,-0.480769231,0,0.845007032
13744,-180,300,9,-0.432692308,0,0.834274586
13744,-160,300,9,-0.384615385,0,0.814281078
13744,-140,300,9,-0.336538462,0,0.796581197
13744,-120,300,9,-0.288461538,0,0.790738938
13744,-100,300,9,-0.240384615,0,0.779530455
13744,-80,300,9,-0.192307692,0,0.774207508
13744,-60,300,9,-0.144230769,0,0.771740777
13744,-40,300,9,-0.096153846,0,0.766461106
13744,-20,300,9,-0.048076923,0,0.768235421
13744,0,300,9,0,0,0.758238667
13744,20,300,9,0.048076923,0,0.760878503
13744,40,300,9,0.096153846,0,0.772216813
13744,60,300,9,0.144230769,0,0.78649789
13744,80,300,9,0.192307692,0,0.79060911
